,완전,완전히,아주
감동있어요,1,0,0
감동적이더라구요,0,0,1
감물쓰임,1,0,0
감미롭습니다,0,0,2
감사,1,0,1
감사합니다,0,0,1
감성감성,1,0,0
감성감성하네요ㅋㅋ,1,0,0
감자맛,0,0,1
감정,0,1,0
감정이입,1,0,0
감정이입했균,1,0,0
감정적으로,0,1,0
감질나요,0,0,1
감질맛,0,0,1
감쪽같아요,0,0,1
감탄하며,1,0,0
감탄하면서,1,0,0
감탄하신게느껴져요ㅋㅋㅋㅋㅋ,1,0,0
감탄했잖아요,1,0,0
감퇴,1,0,0
갑부,0,0,1
갑자기,1,0,1
값비싼,0,0,1
갓,0,0,1
갓생이잖아,1,0,0
강경민초단이에요,1,0,0
강력,1,0,0
강력한,0,0,1
강력했나보군ㅎㅎ,0,0,1
강렬하더라고요,0,0,1
강렬함,1,0,0
강렬했지,0,0,1
강심장,1,0,0
강아지,1,0,0
강아지파였는데,1,0,0
강쥐,1,0,0
강쥐여요,1,0,0
강철부대다,1,0,0
강추,2,0,0
강추는,0,0,1
강추에요,1,0,0
강추예요,1,0,0
강추요,1,0,0
강추하더라구요,1,0,0
강추합니다,1,0,0
강추해요,3,0,0
강추했는데,1,0,0
강하게,0,0,3
강하신,0,0,1
강하진,0,0,1
강한,0,0,1
강한데,1,0,1
강할듯합니다,0,0,1
강해,1,0,0
강행군,1,0,0
같군요,1,0,0
같네요,1,0,0
같아요,1,1,0
같으닞ㅂ,1,0,0
같으시네요,1,0,0
같은,1,1,0
같은지까진,0,1,0
같이,1,0,1
개,1,0,0
개거지핏될거같은,1,0,0
개구장이예요,1,0,0
개구쟁이,1,0,0
개귀요미,1,0,0
개그,1,0,0
개그캐라서,1,0,0
개꼰대,1,0,0
개꿀,2,0,0
개꿀딱,1,0,0
개꿀일,1,0,0
개냥쓰야,1,0,0
개냥이군요,1,0,0
개냥이랑,1,0,0
개냥이에요,1,0,0
개냥이였는데,1,0,0
개냥이였어요,1,0,0
개냥이인가,1,0,0
개노가다,1,0,0
개덥지않으면,1,0,0
개뜬금없이,1,0,0
개말랐고,1,0,0
개맛있는건데,1,0,0
개무시하는데,1,0,0
개발,0,0,1
개방적이라,0,0,1
개복치네,1,0,0
개부럽,1,0,0
개불같아,1,0,0
개빡쵸가지고,1,0,0
개사기새끼들,1,0,0
개손해자나,1,0,0
개양아치,1,0,0
개었어요ㅎㅎ,1,0,0
개운하게,3,0,0
개운행,1,0,0
개이덕이네,1,0,0
개이득,1,0,0
개이득이네,1,0,0
개이득이에요,1,0,0
개이득이죠,1,0,0
개이득인거,0,0,1
개인극장,1,0,0
개인플레이,1,0,0
개일진이엇잖아,1,0,0
개잡주라,1,0,0
개존맛이죠,1,0,0
개진상강사야,1,0,0
개쫄보라,1,0,0
개털,1,0,0
개판된듯,1,0,0
개판쓰,1,0,0
개판이얌,0,0,1
개팡,1,0,0
개환장파티다,1,0,0
갠찮,1,0,0
갤럭시파여서,1,0,0
갬동ㅠㅠㅠㅠㅠ,1,0,0
갬성,1,0,0
갭갭하고,0,0,1
걍,3,0,1
거금을,0,0,1
거꾸리네,1,0,0
거대하게,0,0,2
거대한,0,0,1
거덜을,0,0,1
거리가,0,0,2
거만해요,0,0,1
거부,1,0,0
거북목,1,0,0
거북이가,1,0,0
거상의,1,0,0
거실에,0,0,1
거울같다던데,1,0,0
거의,1,0,0
거저네,1,0,0
거저네요,1,0,0
거저예요,1,0,0
거저잖아,1,0,0
거주지역인지라,1,0,0
거지같아서,1,0,0
거지같았어요,1,0,0
거지같은거만,1,0,0
거지같이,0,0,1
거지다,1,0,0
거지모드로,1,0,0
거짓말쟁이,1,0,0
거하게,1,0,0
걱정,1,0,0
걱정돼죽겠어요,1,0,0
걱정되지않냐,1,0,0
걱정이었어ㅠ,1,0,0
건강,2,0,0
건강맨이시겠는데요,1,0,0
건강식,4,0,0
건강식단이네,1,0,0
건강식이군,0,0,1
건강식이네요,3,0,0
건강식이라,1,0,0
건강식이잖어,1,0,0
건강식이죠,2,0,0
건강이겠는뎅,1,0,0
건강주스네요,1,0,0
건강체,1,0,0
건강하셔,1,0,0
건강하셨음,0,0,1
건강하죠,0,0,1
건강하지,1,0,0
건강한,3,0,3
건강한데요,1,0,0
건강해,1,0,1
건강해졌네요,1,0,0
건강해지겠네요,0,0,1
건강해진다,0,1,0
